"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"RubyRockstar333","FB: @GenFlynn @mflynnJR
@ericbolling @DineshDSouza
@KatrinaPierson @Scaramucci 
@AntonioSabatoJr @RealDrGina @deneenborelli @LauraLoomer
@therealroseanne ❤️🇺🇸",109792,64985,173276,26874,NA,"Ruby RockStar 🎸",2016-07-24 05:04:27,FALSE,FALSE,"RubyRockstar333","👉 No DMs & No Trains 👈","en","757078971590651904",180,FALSE,"http://pbs.twimg.com/profile_images/1037147975548592133/VpOe9Ged_normal.jpg"
"John_KissMyBot","Donald J Trump is my President, Conservative, USAF Vet, (78 - 82) Married 34 yrs and proud father of two Conservative Sons. Trump 2020 🇺🇸 #KAG",293230,125950,201077,68397,NA,"John~💋Kiss My Bot",2012-11-28 02:40:26,FALSE,FALSE,"John_KissMyBot","Where Freedom Rings ","en","975217231",699,FALSE,"http://pbs.twimg.com/profile_images/946564236897026048/dvb5y5u5_normal.jpg"
"JacquelynDeSmit","I love God, my Country and my President 🇺🇸🙏❤️ hate being shadowbanned ❌",27294,4185,14339,4600,NA,"Jacquelyn DeSmith",2017-09-03 14:09:06,FALSE,FALSE,"JacquelynDeSmit","USA","en","904345511338971138",17,FALSE,"http://pbs.twimg.com/profile_images/976414811624947712/z-_NNSov_normal.jpg"
"JerseyGoods","New Jersey founder ... spreading news and information on the best state, and most misunderstood, in America!",39256,8097,2268,8585,NA,"James, Duke of York",2011-03-30 17:47:59,FALSE,FALSE,"JerseyGoods","Yo ... New Jersey, duh!","en","274637076",150,FALSE,"http://pbs.twimg.com/profile_images/2403587626/dfelhy8ep3zu2xb4ljtp_normal.jpeg"
"Woke2008","#MAGA. #KAG. #BlockNike",34209,7977,71383,8163,NA,"Woke",2018-04-30 21:42:13,FALSE,FALSE,"Woke2008","","en","991070240749576199",1,FALSE,"http://pbs.twimg.com/profile_images/1016560526393053184/nXA9ymEL_normal.jpg"
"chuckwi87998634","Patriot Christian, Retired Insurance and Financial Advisor. Happyly married, I vote  the person not the party. I’m Independent Wake up America MAGA",15988,3345,37,3391,NA,"DeplorableChuck",2018-04-11 01:39:42,FALSE,FALSE,"chuckwi87998634","","en","983882250218385408",5,FALSE,"http://pbs.twimg.com/profile_images/984645932770721793/u8bkcS48_normal.jpg"
"pollsofpolitics","Independent/Unbiased Daily polls on the hot topic issues in politics!! Also how America is responding to #Trump Follow us to take part! #FBR",2323,20721,4192,11633,"https://t.co/1WhbcgDj3f","🇺🇸PoliticsPolls🇺🇸",2017-10-11 04:37:31,FALSE,FALSE,"pollsofpolitics","District Heights, MD","en","917972406198775808",73,FALSE,"http://pbs.twimg.com/profile_images/1033767417279787010/peOnNLfB_normal.jpg"
"peterboykin","🇺🇸 🐘 Candidate @NCGOP House58 https://t.co/Zlm8vx1cMQ Co-Founder https://t.co/BVxQyJoud5 Host @MagaFirstNews https://t.co/52yhAXZmUt 🏳️‍🌈 Founder https://t.co/Ihg5B0b65U #GayRight",109978,37964,28990,4225,"https://t.co/WSt9NGXqMj","Peter Boykin 🇺🇸🐘 #Vote #Midterms 11/6/18",2009-03-15 05:43:19,FALSE,TRUE,"peterboykin","Greensboro, NC","en","24493104",191,FALSE,"http://pbs.twimg.com/profile_images/993948187370164225/YK3H3VbG_normal.jpg"
"Tombx7M","#Catholic #tcot #Deplorable #ccot #MAGA #KAG don't have all of the answers and neither do you, but we deserve the right to ask the questions.",105226,24707,16055,18999,NA,"Rad123",2012-10-13 12:17:37,FALSE,FALSE,"Tombx7M","","en","877699334",232,FALSE,"http://pbs.twimg.com/profile_images/3739936650/73c60bbc91f13152f9f51d93de650b04_normal.jpeg"
"CliffShep","Army Veteran who supports our @POTUS 1000%! American citizen who loves this country. I follow all #MAGA.#MAGAveteran #NRA 
#OATHKEEPERS #Truth #RedPill 
#QAnon",71240,19191,76626,16993,"https://t.co/DP29JjoYLz","Clifton Shepherd",2009-03-13 02:16:05,FALSE,FALSE,"CliffShep","Pagosa Springs, CO","en","24105930",21,FALSE,"http://pbs.twimg.com/profile_images/1021601351397068800/GhHU1kXF_normal.jpg"
