"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"AngryandAsian","Speaking Out Because I Can 🌊#Resist☮️Intersectionality #LGBTQ 🌈 Supporter of Sex Workers Rights #BlackLivesMatter 💯 Followed by @Rosie🥰 Blocked by @StoneKettle😂",18450,10388,42132,10639,"https://t.co/gQJSJ42Z2G","Slightly Angry Asian",2014-05-14 05:28:22,FALSE,FALSE,"AngryandAsian","La La Land","en","2493770130",26,FALSE,"http://pbs.twimg.com/profile_images/1031403143068823552/G7NmD9Oe_normal.jpg"
"Cha51brolll19","Husband, dad, friend #TheResistance #VoicesResisting #FollowBackResistance #BlackLivesMatter #STFUHollywood",33138,6585,31178,7123,NA,"Chuck",2013-03-14 13:24:04,FALSE,FALSE,"Cha51brolll19","Atlanta, GA","en","1267075441",7,FALSE,"http://pbs.twimg.com/profile_images/1025470515916361728/e0eSszF0_normal.jpg"
"ChangeTheLAUSD","Parent, special education advocate and former #LAUSD School Board candidate. Still fighting for the children.",44277,7076,9482,6997,"https://t.co/TDgRZCgHp7","Carl J. Petersen",2013-08-29 15:18:59,FALSE,FALSE,"ChangeTheLAUSD","Los Angeles, CA","en","1710316669",47,FALSE,"http://pbs.twimg.com/profile_images/951824293305856000/4528-Yzp_normal.jpg"
"ChrisJZullo","Rockefeller Republican preaching from the left with a right. Agnostic Theist. Regulatory Capitalist.   📖 @endisnearsaveus 🗳 @togetherthrive 🚙 @tagamericablue",30069,114714,40074,123555,"https://t.co/aOP1HP0msV","♻️🇺🇸 Christopher Zullo",2011-06-22 03:23:57,FALSE,FALSE,"ChrisJZullo","United States","en","321774180",1166,FALSE,"http://pbs.twimg.com/profile_images/614520488266727424/MJBPfrGG_normal.jpg"
"CitizensFedUp","We're tired of the do nothing Congress & want to promote REAL Democrats in 2018...!!
#BlueWave2018",148573,24711,216979,12868,"https://t.co/OCf0tlOWMz","Citizens Fed Up",2014-08-14 21:47:03,FALSE,FALSE,"CitizensFedUp","Texas, USA","en","2732944034",158,FALSE,"http://pbs.twimg.com/profile_images/663499095282089984/s-x_SEl7_normal.jpg"
"DavidWetherell","Innovation, Sustainability, Humor, Philomath, Non-alternative facts,  The 99% #Resistance #ClimateChange #HumanRights #AMorePerfectUnion",23799,14687,13493,13180,NA,"So-called Dave",2009-04-18 13:24:11,FALSE,FALSE,"DavidWetherell","US","en","32879813",118,FALSE,"http://pbs.twimg.com/profile_images/834611258007564289/4qFQpw3v_normal.jpg"
"DemResistance","Patriotic-Americans-Together-Resisting-Idiocracy-Oppression & the Trump-System 

#TheResistance #VoteThemOut #ImpeachTrump #FuckMAGA #BlueWave2018 #ITMFA",28550,43927,44451,31526,NA,"BlueWave🌊 P-A-T-R-I-O-T-S",2008-07-23 02:52:36,FALSE,FALSE,"DemResistance","Exposing Trump Crime Family","en","15554072",118,FALSE,"http://pbs.twimg.com/profile_images/955916911543554048/QCWUsmlZ_normal.jpg"
"GeorgeLakoff","Professor Emeritus @UCBerkeley. Best-selling author of The ALL NEW Don’t Think of an Elephant. Co-Host of FrameLab podcast. https://t.co/CGbZDYM4ld",2414,61352,2483,1367,"https://t.co/wFh9QI3Ylj","George Lakoff",2011-01-13 08:26:49,FALSE,FALSE,"GeorgeLakoff","California, USA","en","237637694",1170,FALSE,"http://pbs.twimg.com/profile_images/949062115901390848/g7V06yOB_normal.jpg"
"GonzoBaggins","Heir to the fabulous Baggins dragon fortune. Make America Great Again: Impeach Trump. 🐧 Vote out every Repub you can get your hands on.🌊

No Mercy To Traitors.",15330,4457,31845,5000,NA,"Gonzo Baggins",2011-12-30 13:37:29,FALSE,FALSE,"GonzoBaggins","Stately Baggins Manor, the Shire","en","450634714",12,FALSE,"http://pbs.twimg.com/profile_images/1024096927955206145/u5pFcGRn_normal.jpg"
"HillaryWarnedUs","Referenced by @CNN, @Variety, @thehill, @TIME. Hardened Hillary Democrat. Geek, with detours into esoterica. I block and enjoy it.",30134,29470,8367,2773,NA,"Hillary Warned Us",2017-01-26 21:35:52,FALSE,FALSE,"HillaryWarnedUs","","en","824732613801828354",169,FALSE,"http://pbs.twimg.com/profile_images/1014827634692378624/TWGyuQS__normal.jpg"
"HoneyDemForce","Leader of #DemForce - We share real news & everyone knows facts have a liberal bias. 💕 Check out our news feed 👉 https://t.co/OIsL8T1F88",67167,73235,7241,70449,"https://t.co/yvVeBLY14P","Honey #DemForce",2011-12-02 12:20:59,FALSE,FALSE,"HoneyDemForce","#DemForce - DM me to join","en","426578718",309,FALSE,"http://pbs.twimg.com/profile_images/942888899411697669/n7uYvqGo_normal.jpg"
"IlllllIAna_Pet_","Auntie called by 1st name. Cat lover but a doggie magnet, hmm! Love travelin' Grocery stores are the real museums imo.  #withher #bluewave
#NY19DEMS",1704,129,10852,640,NA,"Ana Pet",2018-02-07 17:57:48,FALSE,FALSE,"IlllllIAna_Pet_","New York, USA","en","961297959689351170",0,FALSE,"http://pbs.twimg.com/profile_images/961305934931812352/QtyPalom_normal.jpg"
"InspiringU2","T.R.U.T.H.#TheResistance,#NeverAgain,
#Resist45365,#FBR,#UnitedWeStand,
#BeARaindropMakeWaves!
#BigBlueWave2018
#Inspiration
 
Visit: https://t.co/pxbE7Z3WV0",43456,37721,28842,41497,"https://t.co/3LFi8aihP6","Kim Franklin-Magana",2008-11-28 19:37:39,FALSE,FALSE,"InspiringU2","Midwest, USA","en","17717593",1809,FALSE,"http://pbs.twimg.com/profile_images/1391799793/Kitten_Heart_Blue_Barn_normal.jpg"
"InvestigateRU","CIR is a nonpartisan, nonprofit organization helping Americans understand the gravity of Russia's continuing attacks on our democracy.",6304,69585,37,365,"https://t.co/UaquPs2V5I","Investigate Russia",2015-10-17 10:39:46,FALSE,FALSE,"InvestigateRU","United States","en","3924002953",707,FALSE,"http://pbs.twimg.com/profile_images/908363085039124480/iUq-1wOc_normal.jpg"
"JeffreyGuterman","Mental Health Counselor, Author | YouTube: https://t.co/oVwSG6MdEW 🌊",167107,214291,524012,1470,"https://t.co/on1pFFKXHf","Jeffrey Guterman, Ph.D.",2006-12-25 17:32:24,FALSE,TRUE,"JeffreyGuterman","Global","en","246103",3309,FALSE,"http://pbs.twimg.com/profile_images/1031984457228709888/g65tv6jp_normal.jpg"
"Jessicap527","#resist.  I am just me.
#bluewave #bluetsunami
#voteblue. #voteblue2018

Psychiatric Nurse Practitioner",4138,4600,8748,4805,NA,"Dazed and Confused 😎",2016-10-11 03:25:07,FALSE,FALSE,"Jessicap527","","en","785682613574918145",1,FALSE,"http://pbs.twimg.com/profile_images/974575942805934080/uJtPrt4w_normal.jpg"
"LOCKHIMUPUSA","",100816,1142,93479,856,NA,"@LOCKHIMUP",2016-10-02 14:19:33,FALSE,FALSE,"LOCKHIMUPUSA","Pennsylvania, USA","en","782585816950255619",33,FALSE,"http://pbs.twimg.com/profile_images/827724596312993793/c6erhbla_normal.jpg"
"MDBlanchfield","#FBR #Resist Postings on this site are my own and do not represent opinions of the City of Albuquerque or Albuquerque Fire Rescue.",194898,64687,185305,47000,"https://t.co/6qoK51Wt5k","Mathew Blanchfield",2012-06-23 23:36:17,FALSE,FALSE,"MDBlanchfield","Albuquerque, NM","en","616573748",7364,FALSE,"http://pbs.twimg.com/profile_images/1016834874856968198/FTHRsSLF_normal.jpg"
"MisterAleem","",27,12,0,0,NA,"MisterAleem",2018-04-23 18:28:47,FALSE,FALSE,"MisterAleem","","sk","988484846489137153",0,FALSE,"http://pbs.twimg.com/profile_images/988485047266283521/DFTnNELg_normal.jpg"
"NickFury2018","#TheResistance 
Recruitment Director of #HeroesResist 💥
Former Director of S.H.I.E.LD.
#AvengersAssemble #VoteBlue #DemocratsWontTryToKillYou",18114,6450,23742,4177,NA,"Nick Fury 2018 💥",2017-08-13 17:41:49,FALSE,FALSE,"NickFury2018","Avengers Mansion, NYC ","en","896788896784297984",5,FALSE,"http://pbs.twimg.com/profile_images/982651302206431232/KiQKiopu_normal.jpg"
"PalmerReport","Palmer Report: timely, accurate, honest political analysis. Followed by President Obama. Blocked by Donald Trump Junior. Do the math.",67418,210915,7919,151953,"https://t.co/1OJ2cVYAy2","Palmer Report",2008-06-14 07:46:44,FALSE,TRUE,"PalmerReport","Los Angeles, CA","en","15115280",2502,FALSE,"http://pbs.twimg.com/profile_images/981799499243798528/syScPtp2_normal.jpg"
"TheDemCoalition","The nation's largest grassroots Resistance organization. We campaign for Democrats, investigate Trump/GOP and we fight foreign influence. #TheResistance",101635,176095,57628,18822,"https://t.co/81I6JTLpUG","Democratic Coalition",2016-03-26 21:25:24,FALSE,TRUE,"TheDemCoalition","New York, USA","en","713839291210792960",1042,FALSE,"http://pbs.twimg.com/profile_images/837403510111105025/RaRX8t9n_normal.jpg"
"TruckersVote","- - 3.5 million USA #Trucker Families - -  #Democrat - #Republican - #Independent - USA Workers of All Trades Have Been Divided & Conquered - Vote in Primaries!",11942,29407,39684,27992,NA,"The Trucker Vote",2012-05-06 22:59:13,FALSE,FALSE,"TruckersVote","On the Road U.S.A.","en","573173793",110,FALSE,"http://pbs.twimg.com/profile_images/883569789183991808/Osadv4Pe_normal.jpg"
"TruthBlueIn","#KavaNO #Midterms2018 #votesaveamerica https://t.co/ViwWpJ59Rq #Resist Empowering women empowers humanity #PasstheERA This snowflake knows 45 is killin' USA",20901,13373,25896,11214,"https://t.co/ONBkSf0L4r","SpringForward 🌊The Blue Wave Is Coming",2013-08-02 17:02:52,FALSE,FALSE,"TruthBlueIn","America, Land of the Free","en","1640917519",2,FALSE,"http://pbs.twimg.com/profile_images/1025034278852149248/0sEIQRSW_normal.jpg"
"Wonkette","#RESIST",103676,62815,747,513,"http://t.co/sYNSZLcvQG","Wonkette",2008-02-07 18:40:18,FALSE,FALSE,"Wonkette","Washington","en","13215382",2906,FALSE,"http://pbs.twimg.com/profile_images/525319034619715584/P0NtXc4f_normal.jpeg"
"aroseblush","CEO-Exec Motion Pictures. Retired. Film buff. Gardening. Daylily Hybridizer. Pomeranians Rule! Political Junkie. #BlueWave2018 #NotMyPresident #TheResistance 💪💪",86876,13185,15419,10524,NA,"Alex",2009-03-06 18:25:05,FALSE,FALSE,"aroseblush","New England","en","23098409",103,FALSE,"http://pbs.twimg.com/profile_images/730031354440613888/X030U2sH_normal.jpg"
